epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.2609,2.69439,3.79316,2.56677,0.00011,0.03333,6e-05,2e-05,4.12016,inf,46.82,0.000553919,0.000553919,0.000553919
2,158.651,2.62438,3.51119,2.5349,0.59102,0.01728,0.01981,0.00621,2.53566,3.67263,2.69809,0.00108762,0.00108762,0.00108762
3,232.179,2.53499,3.41397,2.42811,0.53364,0.04198,0.02545,0.00716,2.51187,3.43501,2.73507,0.00159931,0.00159931,0.00159931
4,306.13,2.473,3.31806,2.41009,0.12723,0.04807,0.0403,0.01193,2.55548,3.43802,2.65182,0.00156798,0.00156798,0.00156798
5,378.986,2.42445,3.24546,2.32614,0.5469,0.04198,0.02603,0.00703,2.67969,3.39331,2.64021,0.00153497,0.00153497,0.00153497
6,451.277,2.38756,3.21008,2.30156,0.04368,0.06667,0.03496,0.01036,2.40064,3.39607,2.46515,0.00150197,0.00150197,0.00150197
7,523.501,2.34206,3.16931,2.28607,0.56784,0.02593,0.04812,0.01527,2.40824,3.70356,2.52727,0.00146896,0.00146896,0.00146896
8,596.17,2.31323,3.10827,2.25551,0.54312,0.05054,0.04246,0.0129,2.35877,3.34737,2.51501,0.00143595,0.00143595,0.00143595
9,668.248,2.29913,3.07774,2.24794,0.58474,0.0284,0.03241,0.01104,2.47147,3.5023,2.53349,0.00140295,0.00140295,0.00140295
10,740.533,2.28718,3.05093,2.21996,0.0552,0.05679,0.06086,0.01951,2.3502,3.20421,2.57451,0.00136994,0.00136994,0.00136994
11,813.306,2.26381,3.00663,2.21692,0.13823,0.08972,0.06287,0.01929,2.33403,3.1559,2.52316,0.00133693,0.00133693,0.00133693
12,886.066,2.23091,2.96916,2.18275,0.15793,0.12421,0.08535,0.03119,2.23412,3.0145,2.43281,0.00130393,0.00130393,0.00130393
13,958.767,2.21785,2.95374,2.18863,0.19122,0.12281,0.07483,0.02656,2.2372,3.02829,2.42841,0.00127092,0.00127092,0.00127092
14,1031.1,2.19089,2.88095,2.15572,0.11665,0.06535,0.03425,0.01133,2.39534,3.62977,2.53115,0.00123791,0.00123791,0.00123791
15,1103.36,2.1834,2.83677,2.14391,0.15762,0.06906,0.06254,0.02474,2.2826,3.11416,2.49259,0.00120491,0.00120491,0.00120491
16,1175.71,2.12794,2.75813,2.13524,0.12038,0.06659,0.05873,0.02205,2.24164,3.22122,2.45784,0.0011719,0.0011719,0.0011719
17,1247.88,2.11968,2.69049,2.11304,0.05523,0.05062,0.02149,0.0065,2.50729,3.7573,2.62379,0.00113889,0.00113889,0.00113889
18,1320.27,2.10868,2.64754,2.09609,0.22885,0.07515,0.06644,0.02739,2.38159,3.30821,2.58689,0.00110589,0.00110589,0.00110589
19,1392.24,2.0587,2.55332,2.08598,0.2276,0.1311,0.10898,0.04302,2.26525,3.07816,2.41895,0.00107288,0.00107288,0.00107288
20,1464.98,2.0447,2.49599,2.07423,0.21348,0.1259,0.10823,0.04094,2.27365,3.021,2.48926,0.00103987,0.00103987,0.00103987
21,1537.23,2.0304,2.47031,2.06243,0.26709,0.11457,0.08826,0.03734,2.33628,3.19606,2.52726,0.00100687,0.00100687,0.00100687
22,1609.54,2.01353,2.40444,2.05041,0.20801,0.15021,0.13873,0.06171,2.14397,2.9202,2.37912,0.000973861,0.000973861,0.000973861
23,1682.32,1.99902,2.35331,2.03704,0.12572,0.11153,0.08638,0.03469,2.23153,3.18704,2.48969,0.000940855,0.000940855,0.000940855
24,1754.65,1.97106,2.29012,2.01955,0.65625,0.1155,0.1242,0.05326,2.18834,2.91369,2.44768,0.000907848,0.000907848,0.000907848
25,1826.83,1.96257,2.26866,2.02552,0.40448,0.12083,0.1584,0.07694,2.17732,2.80484,2.44436,0.000874842,0.000874842,0.000874842
26,1899.68,1.93221,2.17973,1.98587,0.32819,0.20405,0.19068,0.08693,2.07878,2.65904,2.3439,0.000841835,0.000841835,0.000841835
27,1972.53,1.90845,2.1533,1.97904,0.27993,0.2566,0.18997,0.09294,2.1069,2.72572,2.3629,0.000808828,0.000808828,0.000808828
28,2045.19,1.89024,2.10176,1.95575,0.22516,0.1755,0.16118,0.07388,2.15992,2.93846,2.41117,0.000775822,0.000775822,0.000775822
29,2117.5,1.87004,2.06015,1.95733,0.23567,0.20612,0.17274,0.07786,2.12354,2.7704,2.40963,0.000742815,0.000742815,0.000742815
30,2189.69,1.85556,2.00793,1.9251,0.20952,0.14018,0.13081,0.06382,2.24175,3.13003,2.47144,0.000709809,0.000709809,0.000709809
31,2261.73,1.82866,1.97567,1.9256,0.17705,0.10947,0.08958,0.04011,2.36563,3.46288,2.56976,0.000676802,0.000676802,0.000676802
32,2333.94,1.82731,1.97974,1.9273,0.26282,0.12947,0.12561,0.07043,2.25161,3.29467,2.51182,0.000643795,0.000643795,0.000643795
33,2406.09,1.78881,1.91189,1.90301,0.32224,0.26903,0.23711,0.11521,2.08001,2.61861,2.33759,0.000610789,0.000610789,0.000610789
34,2478.79,1.7736,1.88024,1.88921,0.19622,0.13417,0.11999,0.05104,2.28484,3.23979,2.52396,0.000577782,0.000577782,0.000577782
35,2551.21,1.77189,1.87073,1.8852,0.38303,0.24291,0.24826,0.13162,2.01818,2.59391,2.30851,0.000544776,0.000544776,0.000544776
36,2624.06,1.74406,1.84765,1.86637,0.32567,0.24483,0.24409,0.13237,2.01504,2.5431,2.32641,0.000511769,0.000511769,0.000511769
37,2696.93,1.73808,1.80167,1.85726,0.2967,0.23312,0.21655,0.12208,2.06309,2.67016,2.33819,0.000478762,0.000478762,0.000478762
38,2769.32,1.70624,1.75534,1.8361,0.27031,0.22101,0.22734,0.12837,1.99019,2.59339,2.29795,0.000445756,0.000445756,0.000445756
39,2841.51,1.69861,1.738,1.82242,0.34698,0.21863,0.24021,0.13694,1.98378,2.53456,2.26939,0.000412749,0.000412749,0.000412749
40,2914.35,1.66751,1.7137,1.80842,0.43627,0.2538,0.27435,0.14931,1.96931,2.42315,2.29035,0.000379743,0.000379743,0.000379743
41,2988.14,1.6481,1.5923,1.9299,0.33119,0.26629,0.24601,0.1392,2.04163,2.60117,2.31742,0.000346736,0.000346736,0.000346736
42,3060.65,1.6287,1.54654,1.91543,0.42936,0.28607,0.28748,0.1661,1.94856,2.40904,2.2609,0.000313729,0.000313729,0.000313729
43,3133.28,1.59167,1.50684,1.88925,0.43733,0.29049,0.28932,0.16194,1.97583,2.42251,2.29506,0.000280723,0.000280723,0.000280723
44,3205.54,1.56155,1.46722,1.8593,0.34258,0.31817,0.27516,0.16031,1.96262,2.47774,2.28766,0.000247716,0.000247716,0.000247716
